sensor_id,latitude,longitude,weekday_count
4,-37.8148798759503,144.966087801437,3190.3333333333335
17,-37.8136254240211,144.973235916778,1586.6666666666667
18,-37.8134486106919,144.973053538633,654.0
16,-37.8157342252752,144.965210438559,2233.3333333333335
2,-37.8138066724228,144.965167185971,2863.6666666666665
1,-37.8134944036338,144.965153237914,3529.0
13,-37.8123434709568,144.956647742336,1278.3333333333333
3,-37.8110530422788,144.964248046779,2488.0
15,-37.8106437830727,144.964471322694,1678.6666666666667
9,-37.8198825259225,144.951082845706,1068.3333333333333
10,-37.8187647327542,144.947105451213,583.3333333333334
12,-37.8145798719868,144.942923981029,383.6666666666667
11,-37.8154565643471,144.939579299407,226.66666666666666
8,-37.8229354263742,144.947175106953,571.6666666666666
7,-37.8183237506589,144.971414820121,793.0
5,-37.8187424894411,144.967876562712,1577.5
6,-37.8191170445268,144.965582558609,1970.5
14,-37.8201124166947,144.96291897546,598.5
26,-37.8086954214778,144.960494038903,1220.0
24,-37.8188796214196,144.95449198131,2230.5
23,-37.8190925593958,144.954527490176,1038.5
25,-37.8240318840833,144.955931412038,892.5
21,-37.8124803013205,144.967730746932,1430.5
20,-37.811729134669,144.968246601442,680.5
19,-37.8123720170999,144.965506710649,1104.0
22,-37.8178644478193,144.965068228214,2533.5
27,-37.8062043823034,144.956630585614,208.0
28,-37.8212992424763,144.968793093492,1296.5
31,-37.8016968046535,144.966589114895,374.5
30,-37.8112184919515,144.966568066001,1060.5
33,-37.8148325157834,144.974540556573,373.5
34,-37.8153798501116,144.974150495806,312.5
39,-37.8138475498556,144.970330591529,914.0
38,-37.8170916806555,144.96714779185,4205.5
37,-37.8013453319892,144.967123315373,373.5
40,-37.8099934057793,144.972275879457,1013.0
36,-37.8164707984673,144.961276928328,937.0
29,-37.819658083823,144.968634533137,726.0
32,-37.8157374166874,144.966857177706,1889.0
42,-37.8000856548236,144.963864121768,458.5
43,-37.7984452524968,144.964117822271,420.5
44,-37.7968227197363,144.964353917115,214.5
35,-37.8202262044322,144.965076422932,2751.0
